《The British Grenadiers》	 Various Artists
《君の好きなとこ》	 平井堅
《男儿当自强》	 成龙
《爱我别走》	 张震岳
《你怎么舍得我难过》	 黄品源
《童话》	 光良
《それがあなたの幸せとしても (カバー)》	 伊礼亮
《DYNAMITE GIRL》	 E-girls
《LOVE》	 E-girls
《NEVER ENDING STORY ～君に秘密を教えよう～》	 E-girls
《Pain; pain》	 E-girls
《Gotta Get Me Some》	 Nickelback
《Star Sky - Instrumental》	 Two Steps From Hell
《Take My Hand》	 Simple Plan
《Edge of a Revolution》	 Nickelback
《燕鸣骊歌(幻音宝盒版)》	 魏小涵
《幻音宝盒》	 魏小涵
《一舞倾城》	 魏小涵
《Butter-Fly (ピアノヴァージョン)》	 和田光司
《Butter-Fly》	 和田光司
《未来花》	 スキマスイッチ
《Micmacs à la gare》	 Raphaël Beau
《The Brave》	 Yosh
《追光者 英文版（Cover 岑宁儿）》	 ADÀI宋黛霆
《独孤天下》	 李玉刚
《'Resident Evil Main Title Theme (film score)》	 Marilyn Manson
《BRE@TH//LESS <a0v>》	 小林未郁
《I Want My Tears Back》	 Nightwish
《天策-天策府》	 月之门
《秦时明月-飞雪玉花》	 魏小涵
《Dragostea Din Tei》	 O-Zone
《月光》	 胡彦斌
《心中想的还是他》	 禹丁洁
《人生不过一百年》	 袁接伟
《丁建国写的歌》	 路默依
《天后（国粤版）（Cover 陈势安）》	 阿细
《Perfect Time <再arr>》	 小林未郁; mpi
《追光者（粤语版）（Cover 岑宁儿）》	 阿细
《Best of 2017 Medley》	 Anthem Lights
《The Single Life》	 Sarina Paris
《Despacito 缓缓》	 Luis Fonsi; 林俊杰
《Themes from Pirates of the Caribbean》	 The Piano Guys; Hans Zimmer
《Donde Estas; Yolanda?》	 Pink Martini
《Love Story meets Viva La Vida》	 Jon Schmidt
《南方姑娘》	 赵雷
《喜欢你》	 Beyond
《冷雨夜》	 Beyond
《真的爱你》	 Beyond
《不再犹豫》	 Beyond
《海阔天空》	 Beyond
《Butter-Fly》	 和田光司
《紅蓮の弓矢》	 Linked Horizon
《Wicked Wonderland (Radio Edit)》	 Tungevaag
《普通Disco(伴奏)》	 花僮
《君の好きなとこ》	 平井堅
《回レ! 雪月花》	 原田ひとみ; 茅野愛衣; 小倉唯
《Only My Railgun》	 fripSide
《追光者（Cover 岑宁儿）》	 伦桑
《Letter Song》	 ヲタみん
《最美不过夕阳红》	 刘秉义
《病名は愛だった》	 Neru; 鏡音リン; 鏡音レン; z'5
《追光使者》	 洛天依Official
《极乐净土》	 圈9
《Prototype》	 Jeff Lorber Fusion
《Shape of You》	 Ed Sheeran
《24K Magic》	 Bruno Mars
《墨》	 任然
《Moon River》	 Henry Mancini; 2Cellos; Johnny Mercer
《普通DISCO》	 ilem; 洛天依Official; 言和
《Come Sail Away》	 David Osborne
《都选C-乔杉版(《缝纫机乐队》电影插曲)（Cover 乔杉）》	 郑德超
《世界が終るまでは···》	 WANDS
《From Out of the Mist We Came Forth》	 Slechtvalk
《《漂洋过海来看你》-姜创钢琴版（翻自 刘明湘）》	 姜创钢琴
《追光者》	 岑宁儿
《Proud Of You》	 冯曦妤
《Larger Than Life》	 Backstreet Boys
《Beat It》	 Michael Jackson
《Toxic》	 Britney Spears
《Starships》	 Nicki Minaj
《The Nights》	 Avicii; Nicholas Furlong
《Trouble Is A Friend》	 Lenka
《Steal My Girl》	 One Direction
《TiK ToK》	 Kesha
《激昂壮志（壮絶激昂）-泠鸢翻唱（Cover 上坂堇）》	 泠鸢yousa
《三万英尺》	 迪克牛仔
《朋友别哭》	 吕方
《Rolling in the Deep》	 Adele
《Playerunknowns Battlegrounds Main Menu Theme》	 Various Artists
《空空如也》	 任然
《愿做菩萨那朵莲》	 梅朵
《Despacito》	 2Cellos
《温柔乡》	 陈雅森
《有没有人告诉你》	 陈楚生
《卷珠帘》	 周深
《秦淮八艳》	 玉璇玑
《EXEC_COSMOFLIPS/.》	 KOKIA
《Lock Me Up》	 The Cab
《秦淮八艳（翻自 玉璇玑）》	 玄觞; 玉采田; 竹桑; 凌之轩; 冥月; 妖扬; 陈一勺; 司夏
《I wonder why...》	 花澤香菜
《やくそく》	 三森すずこ; 花澤香菜
《星空と潮騒と》	 酒井亮
《真心英雄》	 杨坤; 佟大为; 郑元畅; 张杰; 朱亚文; 陈学冬
《朋友》	 周华健
《Panama》	 Matteo
《黒猫はタンゴ》	 神前暁
《飘洋过海来看你》	 李翊君
《猫になりたい》	 つじあやの
《失恋俱乐部》	 任然
《月が泣いてる》	 つじあやの
《Good Time》	 Owl City; Carly Rae Jepsen
《夢と葉桜》	 ヲタみん
《夢と葉桜》	 初音ミク; 青木月光
《外婆桥》	 洛天依Official
《哔哩哔哩耶 BILIBILI耶 幸福就在你身边》	 泠鸢yousa; 呆萌忆
《锦鲤抄》	 泠鸢yousa
《爱的供氧》	 泠鸢yousa
《泼墨漓江【茜色诗集】》	 泠鸢yousa
《我不是伟人》	 陈小春
《I Want It That Way》	 Landon Austin; Julia Sheer
《Toccata & Fugue in D Minor》	 Vanessa-Mae
《The Spirit Tree (feat. Aeralie Brighton)》	 Gareth Coker; Aeralie Brighton
《千千阙歌(英文版)》	 Various Artists
《Ghost Riders In The Sky》	 Fendermen
《新闻频道天气预报背景音乐》	 群星
《The Lonely Shepherd》	 Zamfir
《Tishri》	 Ana Alcaide
《Revolution》	 The Score
《A Gift of a Thistle (from Braveheart)》	 Catrin Finch; Erdo Groot; Julian Lloyd Webber; Pam Chowhan; Steafan Hannigan; Stefan Hannigan
《The Good; the Bad and the Ugly - Il Buono; Il Brutto; Il Cattivo (Titles)》	 Ennio Morricone
《Compass》	 Two Steps From Hell
《Ori; Lost In the Storm (feat. Aeralie Brighton)》	 Gareth Coker; Aeralie Brighton
《Despacito》	 Sam Tsui
《Buccaneer Island》	 Brand X Music
《Epiphany》	 Shire Music
《Visions》	 Acreix
《男人海洋》	 周传雄
《ハーフムーン・セレナーデ》	 河合奈保子
《A Story You Won't Believe》	 Marcin Przybyłowicz
《Stormwind(City Theme)》	 Jason Hayes; Tracy Bush; Derek Duke; Glenn Stafford
《Some Place We Called Home》	 Piotr Musial
《Honor for All - End Credits》	 Daniel Licht; Mary Elizabeth McGlynn; Jon Licht
《She Is My Sin》	 Nightwish
《如果我说》	 乐正绫
《Helmet to Helmet》	 Brand X Music
《Fire in the Hole》	 Pegboard Nerds
《Star Sky》	 Two Steps From Hell
《The Lazy Song》	 Alex Goot
《Here We Are Again》	 CAGNET; 日向大介
《Despacito》	 MADILYN; Leroy Sanchez
《MEC Loading》	 Fredrik Englund; David Tallroth; Jonas Östholm
《Diamond Eyes (Boom-Lay Boom-Lay Boom)》	 Shinedown
《灼之花》	 洛天依Official; 乐正绫
《僕らの手には何もないけど、》	 RAM WIRE
《樱花绽放时（洛天依·乐正绫合唱ver.）》	 喵九; 洛天依Official; 乐正绫
《gamestartup1》	 Valve Studio Orchestra
《新·九九八十一》	 洛天依Official; 乐正绫; Soda纯白
《Miracle》	 Shinedown
《Dangerous》	 David Garrett; Royal Philharmonic Orchestra; Franck van der Heijden
《サクラ咲ケ - 岚》	 林そよか
《夕阳之歌(Live)》	 梅艳芳
《二言目》	 斎藤千和
《友谊之光》	 Maria Cordero
《ねこみみスイッチ》	 初音ミク
《初音ミクの消失》	 初音ミク; cosMo@暴走P
《脳漿炸裂ガール》	 初音ミク; GUMI; れるりり
《Halloween 梦》	 初音ミク
《Hand in Hand》	 livetune; 初音ミク
《だんだん早くなる》	 40mP; 初音ミク
《朧月》	 初音ミク; 湊貴大
《ワールドイズマイン》	 初音ミク; ryo (supercell)
《千本桜》	 黒うさP; 初音ミク
《【鬼畜】张全蛋在接受采访时大爆粗口》	 EDM-source
《【雷军/初音】New Friend》	 OELoop; 初音ミク; 雷军
《全世界死机！！》	 OELoop; 雷军
《17版本柯南主题旋律同时播放》	 V.A.
《活着》	 郝云
《Staple Stable》	 斎藤千和
《Nyan Cat》	 daniwellP; 桃音モモ
《拯救》	 孙楠
《修炼爱情》	 林俊杰
《追梦赤子心》	 GALA
《Intro》	 Dreamtale
《猪突猛進》	 百石元
《1-800-273-8255》	 Logic; Alessia Cara; Khalid
《For The Win (Dance Remix)》	 Two Steps From Hell; Thomas Bergersen
《Remember The Name (feat. Styles Of Beyond)》	 Fort Minor; Styles of Beyond
《Tokyo Hot》	 Z3BROTHER
《Remember The Name (Instrumental)》	 Fort Minor
《南锣鼓巷》	 接个吻，开一枪; CLARE
《とある日常の背景音楽》	 神前暁
《「ありがとうございます。助かりました」》	 神前暁
《「プラチナむかつく」》	 神前暁
《しでの鳥》	 神前暁
《At The Edge》	 千坂
《Legends Never Die》	 英雄联盟; Against the Current
《刚好》	 任然
《名探偵コナン メイン・テーマ(世紀末ヴァージョン)》	 大野克夫
《名探偵コナン メイン・テーマ (業火の向日葵ヴァージョン)》	 大野克夫
《名探侦コナン メインテーマ(漆黒フルヴァージョン)》	 大野克夫
《名探偵コナン メイン・テーマ(十字路ヴァージョン)》	 大野克夫
《名探侦コナン メイン・テーマ(絶海の探侦ヴァージョン)》	 大野克夫
《名探偵コナン メイン・テーマ(暗殺者ヴァージョン)》	 大野克夫
《名探偵コナン メイン・テーマ(天国ヴァージョン)》	 大野克夫
《名探偵コナン メイン・テーマ (銀翼ヴァージョン)》	 大野克夫
《名探偵コナン メイン・テーマ(摩天楼ヴァージョン)》	 大野克夫
《名探偵コナン メイン・テーマ(鎮魂歌ヴァージョン)》	 大野克夫
《「名探偵コナン」~メインテーマ(バラード・ヴァージョン)》	 大野克夫
《白金ディスコ(「偽物語」より)》	 Melodic Taste
《恋爱サーキュレーション(“化物语”より)》	 Melodic Taste
《hero select underscore loop》	 Valve Studio Orchestra
《Pump It》	 Bond
《El ultimo indio moxicano (song from the film 'The last Mohican')》	 Alborada Del Inka
《sweets parade》	 花澤香菜
《ぼくがいる~コナンのテーマ》	 伊織
《醉赤壁》	 林俊杰
《おどるポンポコリン》	 B.B.クイーンズ
《いのちの名前 ~ジブリ・メドレー~》	 DJ SLY
《山水之间》	 许嵩
《Wrecking Ball》	 Frankmusik
《漂亮面对》	 洛天依Official
《Despacito》	 Luis Fonsi; Daddy Yankee
《别送我》	 陈鸿宇; 苏紫旭; 刘昊霖; 寒洛&鼓润
《YMCA (Original Version 1978)》	 Village People
《The Happy Troll (Griefing Theme Song)》	 D1ofaquavibe
《我要你》	 任素汐
《ハートアラモード》	 DECO*27; 初音ミク
《ありふれたせかいせいふく》	 ピノキオピー; 初音ミク
《トルコ行进曲-オワタ\(^o^)/》	 オワタP; 初音ミク
《Love is the answer(当你孤单你会想起谁)》	 Sofia Kallgren
《50 Ways to Say Goodbye》	 Train
《Thank You》	 MKTO
《Swamp Thing》	 Pegboard Nerds
《Pink Panther Theme》	 Henry Mancini
《元素周期表》	 洛天依Official
《betrayal》	 Various Artists
《On a Slow Boat to China》	 Luke Thompson
《Gentleman》	 PSY
《Nurture》	 Stephen Mark Satterthwaite
《Through The Valley》	 Ellie
《Everything I Do I Do It for You》	 Bryan Adams
《You Are Not Alone》	 Michael Jackson
《Love The Way You Lie》	 Eminem; Rihanna
《Mr.Music》	 れるりり; 巡音ルカ; 鏡音リン; 鏡音レン; 初音ミク; 歌愛ユキ; GUMI
《Scarborough Fair / Canticle》	 Simon & Garfunkel
《Beautiful World》	 Westlife
《儿子，我是你爸爸 (Demo)》	 王宝
《drop pop candy》	 Giga; 鏡音リン; 巡音ルカ
《合久必婚 (合唱)》	 陈苑淇; 李克勤
《BRE@TH//LESS》	 小林未郁
《(Everything I Do) I Do It For You (Album Version)》	 Bryan Adams
《リバーシブル・キャンペーン（Reversible·Campaign）》	 DECO*27; 初音ミク
《Rivers of Babylon》	 Boney M.
《爱后余生》	 任然
《贝加尔湖畔》	 李健
《月半小夜曲》	 李克勤
《The Virtuosos of the Metro》	 Alexey Omelchuk
《Overture (William Tell)》	 André Rieu
《Red River Valley》	 Michael Martin Murphey
《我的未来不是梦》	 张雨生
《黄昏》	 周传雄
《【雷军】全世界死机2》	 OELoop
《世界が終るまでは》	 WANDS
《Heart in a Bottle》	 Alexey Omelchuk
《Prelude – Act I (Carmen)》	 André Rieu
《In the Long Run》	 Nick Fradiani
《Hippo》	 OMFG
《光辉岁月》	 Beyond
《My Heart》	 EH!DE; Different Heaven
《Beautiful In White (Demo)》	 Shane Filan
《Born Ready》	 Zayde Wølf
《Sealed With a Kiss》	 Bobby Vinton
《Careless Whisper》	 Wham!
《Dying》	 OMFG
《网瘾青年》	 无刃妖影; 言和; 洛天依
《凉凉》	 张碧晨; 陈奕夫; 傲日其愣; 唐倩
《Speak Softly Love》	 Andy Williams
《植物醒哥与梁非凡屋顶上的决战》	 群星
《Nothing On You》	 B.o.B; Bruno Mars
《Pink Champagne》	 Nick Lopez
《Lost Love (Instrumental)》	 Lunnna; Janey杰尼
《情深意重》	 西山居游戏音乐
《天使的翅膀》	 安琥
《一些规律》	 许飞; 姚晨
《Believer》	 Imagine Dragons
《Dying In the Sun》	 The Cranberries
《趁早(2005版)》	 张宇
《月亮惹的祸》	 张宇
《男人的好》	 张宇
《King》	 Zayde Wølf
《7 Years》	 Conor Maynard
《阿卡贝拉SHAPE OF YOU（Cover ed sheeran）》	 JACK TWO; 睡PAO友
《Aladdin Medley: Arabian Nights / One Jump Ahead / A Whole New World / Friend Like Me / Prince Ali》	 Anthem Lights
《Love Yourself / Sorry / What Do You Mean? / Where Are Ü Now?》	 Anthem Lights
《Just The Way You Are ((Acoustic))》	 Anthem Lights
《Let It Go》	 Anthem Lights
《America Medley: God Bless America / God Bless the USA / America the Beautiful / Star Spangled Banner》	 Anthem Lights
《Lion King Medley: Circle of Life / I Just Can’t Wait to Be King / Hakuna Matata / Can You Feel the Love Tonight》	 Anthem Lights
《Backstreet Boys Medley》	 Anthem Lights
《Best of 2016 Medley: Stressed Out / 7 Years / Work / Treat You Better / Can't Stop the Feeling / Closer / 24k》	 Anthem Lights
《Class of 2017 Mash-Up: My Wish / I Hope You Dance / The Climb / I Lived》	 Anthem Lights
《Rather Be (Glee Cast Version)》	 Glee Cast
《Crazy Baby》	 Fantasy Prouject
《Despacito (Remix)》	 Luis Fonsi; Daddy Yankee; Justin Bieber
《Legend》	 The Score
《パズル》	 ENE
《【三畿道】我的天空（Cover 南征北战）》	 三畿道
《66CCFF》	 洛天依Official
《William Tell Overture(威廉.泰尔进行曲)-Rossini》	 欧翠峰
《Hello（3D）》	 杭立旺
《Everybody》	 OMFG
《Pancakes》	 OMFG
《Nope》	 OMFG
《Es rappelt im Karton》	 Pixie Paris
《有没有人告诉你》	 钟明秋
《白金ディスコ》	 井口裕香
《暧昧》	 薛之谦
《Scheming Weasel (faster version)》	 Kevin MacLeod
《雅俗共赏》	 许嵩
《七月上》	 Jam
《Ghost Riders In The Sky》	 Spiderbait
《New Siberia》	 Los Straitjackets
《Too Old to Die Young》	 Brother Dege
《The Good the Bad and the Ugly》	 The Atlantics
《My Soul》	 July
《Lifeline》	 Zeraphym 六翼使徒
《Silver for Monsters...》	 Marcin Przybyłowicz
《Unity》	 Chris Tilton; Jesper Kyd; Assassin's Creed
《Freedom》	 Pharrell Williams
《白玫瑰》	 陈奕迅
《达拉崩吧》	 三无MarBlue
《一代宗师》	 西山居游戏音乐
《唐门-唐家堡》	 月之门
《風になる》	 つじあやの
《The Show》	 Lenka
《外婆桥》	 泠鸢yousa
《i hate u; i love u (feat. olivia o'brien)》	 gnash; Olivia O'Brien
《Believer (Kaskade Remix)》	 Imagine Dragons; Kaskade
《The Afternoon Of Rainy day》	 柏大輔
《Greenery Rain》	 柏大輔
《A Rainy Morning ~Main Title~》	 柏大輔
《You Spin Me Round》	 Roger Sanchez; Danzel
《Mountain Journey》	 Foxtail-Grass Studio
《央视新闻频道天气预报背景音乐》	 夏小舟
《El Dorado (Dubstep Remix)》	 Two Steps From Hell; Thomas Bergersen
《He's a Pirate (Pirates of the Caribbean theme)》	 David Garrett
《太多》	 陈冠蒲
《Clsr (Aash Mehta Flip)》	 The Chainsmokers; Aash Mehta; Halsey
《凉城》	 任然
《雪山》	 西山居游戏音乐
《神经病之歌》	 洛天依Official; 言和
《虚拟游乐场》	 洛天依Official; JZN
《Man on a Mission》	 Oh The Larceny
《素颜(英文版)》	 阿摩司
《素颜》	 许嵩; 何曼婷
《Piano Beat》	 BeaTsGOy
《Radioactive》	 Imagine Dragons
《Viva La Vida》	 Coldplay
《あの頃～ジンジンバオヂュオニー～》	 whiteeeen
《Summertime》	 K-391
《Auf Und Auf Voll Lebenslust》	 Franzl Lang
《富士山下》	 陈奕迅
《おじゃま虫》	 DECO*27; 初音ミク
《Sky (Radio Edit)》	 Steerner; Martell
《Checking Things Off of a to-do List Early In the Morning》	 Lullatone
《Nothing To Fear》	 Dexter Britain
《La Boîte à Musique》	 Rhian Sheehan
《Camille; the Steel Shadow》	 Sebastien Najand; 英雄联盟
《secret base ~君がくれたもの~》	 SILENT SIREN
《星之所在(布鲁斯口琴)》	 Various Artists
《爱我中华》	 宋祖英
《理想》	 赵雷
《Love You Like the Movies》	 Anthem Lights
《Brotherhood》	 John Dreamer
《卡农 (十孔口琴版)》	 晓月老板
《River flows in you（口琴）》	 庸中小廖
《Sex Apeal [Max Farenthide Edit]》	 Bueno Clinic
《深夜书店》	 许嵩; 洛天依Official
《Shape of You》	 Ed Sheeran
《镜花水月》	 心华; 砖厂浪人; 洛天依Official; 乐正绫; 言和
《The Last of Us》	 Gustavo Santaolalla
《Arrival》	 Halo; Neil Davidge
《Minecraft》	 C418
《四重罪孽》	 洛天依Official; 言和; 乐正绫; DELA
《Unity (Instrumental)》	 TheFatRat
《Jackpot》	 TheFatRat
《Never Be Alone》	 TheFatRat
《Monody (Radio Edit)》	 TheFatRat; Laura Brehm
《Citizens》	 Alice Russell
《ツギハギスタッカート》	 nameless
《奇妙的约会》	 洪钟
《情歌王》	 古巨基
《情歌王(法语版)》	 毛晖
《V家萌妹》	 洛天依Official
《Titoli》	 Ennio Morricone
《漂洋过海来看你》	 周深
《思念是一种病(Live)》	 张震岳
《美人鱼》	 林俊杰
《独家记忆》	 陈小春
《山外小楼夜听雨》	 任然
《告白气球》	 周杰伦
《我的歌声里》	 曲婉婷
《Frontier》	 Doctor Vox
《Nevada》	 Vicetone; Cozi Zuehlsdorff
《杏花弦外雨》	 CRITTY; 司夏
《Butter-Fly (MIX)》	 和田光司
《成都》	 赵雷
《The Next Episode instrumental》	 Snoop Dog; Dr. Dre
《Adagio》	 Lara Fabian
《Merry Go》	 Kevin MacLeod
《PIXEL》	 Tokyo Machine
《Ever Felt pt. 2》	 Otis McDonald
《The Phantom》	 MUZZ; High Maintenance
《No Disrespect》	 Paradigmmm
《Cheat Codes》	 Nitro Fun
《【DOTA全明星】信仰之花，不曾凋零》	 灵梦
《Dota™ 2》	 Video Games Live; The City of Prague Philharmonic Orchestra
《The Party Troll》	 D1ofaquavibe
《东京不太热》	 封茗囧菌
《一剪梅》	 张明敏
《红日》	 李克勤
《On My Own》	 Ashes Remain
《名探偵コナン メイン・テーマ (ベイカー街ヴァージョン)》	 大野克夫
《Counting Stars》	 Simply Three
《What Makes You Beautiful》	 Marc Sean
《【洛天依原创】刹那烟火，落尽清凉》	 九御kyuugo
《勇士天下》	 洛天依Official
《Tassel》	 Cymophane
《Habanera from Carmen / La Cumparsita》	 Martynas
《Faidherbe square (instrumental)》	 ProleteR
《Classic》	 MKTO
《火星人来过》	 薛之谦
《方圆几里》	 薛之谦
《下雨了》	 薛之谦
《等我回家》	 薛之谦
《一半》	 薛之谦
《初学者》	 薛之谦
《Prelude (VIP Edit)》	 TheFatRat; JJD
《Home to Dragons》	 Jasha Klebe; Jacob Shea
《Planet Earth II Suite》	 Hans Zimmer; Jasha Klebe; Jacob Shea
《Smooth Criminal (Michael Jackson)》	 David Garrett
《I Just Wanna Run》	 Kait Weston
《Dream It Possible》	 Delacey
《Ascent》	 Teminite
《New Thang》	 Redfoo
《Pop Danthology 2012》	 DJ Daniel Kim
《Flower Dance》	 DJ Okawari
《The Right Path》	 Thomas Greenberg
《Don Coi (Instrumental)》	 Truong Quynh Anh
《[洛天依]寂火》	 XiaoNuo丶; 时空の名前; 洛天依
《fairy stage》	 K2 SOUND
《Midnight Waltz》	 Adam Hurst
《River Flows In You (Original Mix)》	 Mark Pride
《Sundial Dreams》	 Kevin Kern
《Rain of Love》	 Blazo
《canon in d》	 Brian Crain
《各自的结局》	 Days
《Nuit Silencieuse》	 Days
《毕业前夕》	 Days
《Fantaisie de Nuit Silencieuse》	 Days
《拥有》	 几米
《彩月​-​Sai​-​getsu-》	 Otokaze
《Summer》	 久石譲
《Ding Dong Song》	 Gunther & the Sunshine Girls
《Sad Angel》	 Igor Krutoy
《global visions》	 Richard Cottle
《まっしろな雪》	 水瀬ましろ
《乱世巨星》	 陈小春
《街头霸王bgm(古烈混音版)》	 Various Artists
《Brainiac Maniac》	 Laura Shigihara
《U Make Me Wanna》	 Blue
《月下》	 洛天依Official
《Three Magic》	 3L
《恋愛サーキュレーション (双声道版)》	 花澤香菜; 釘宮理恵
《Rolling in the deep》	 廖佳琳
《极乐净土x禁忌的边界线》	 一只小鹿噜噜噜
《钢琴 极乐净土》	 逻辑
《The Fox》	 小胡仙儿
《【守望先锋】屁股disco》	 布姆人
《Hey Oh (Radio Edit)》	 Tragédie
《La La Love On My Mind》	 Ann Winsborn
《Stronger》	 Inez
《玩具城》	 StudioEIM
《千年食谱颂》	 洛天依Official
《玩具塔》	 StudioEIM
《Song from a Secret Garden》	 Secret Garden
《Windfall》	 TheFatRat
《大鱼海棠 周深《大鱼》--姜创钢琴版(cover)》	 姜创钢琴
《大鱼（电影《大鱼海棠》印象曲）》	 董敏
《Victory》	 Two Steps From Hell; Merethe Soltvedt
《Saika》	 RABPIT
《大鱼 （Cover 周深）》	 双笙（陈元汐）
《Let's Go》	 Blue Stahli
《El Condor Pasa》	 Leo Rojas
《七秀-七秀坊》	 月之门
《枫林》	 月之门
《明教·明尊》	 西山居游戏音乐
《强军战歌》	 阎维文
《当兵前的那晚上》	 汤非
《天空之城（阿卡贝拉版）》	 一瓶; 池年; 雲翼星辰; 蚂爷; 墨橙; 若比; 残音; 景象; 婳烙微; 泠沚; 2酒; 油爆琵琶
《天空の城ラピュタ》	 久石譲
《天空之城(小提琴版)》	 V.A.
《AIR》	 久石譲
《Air》	 Skyvoice
《潮鳴り》	 折戸伸治
《对不起;我只是一个宅男》	 少恭
《怪物大暴走》	 三无MarBlue
《上海滩(钢琴版)》	 郑平昌
《旅立ちの序曲 ～OVERTURE:FAIRY TAIL メインテーマ～》	 高梨康治
《站起来》	 成龙; 孙楠; 莫文蔚; 韩红
《I Knew You Were Trouble》	 MADILYN
《Taylor Swift Mash-Up》	 Anthem Lights
《幹物女（Cover 洛天依）》	 萧忆情Alex
《Careless Whisper》	 Sam Levine
《恋愛サーキュレーション》	 花澤香菜
《祖国不会忘记》	 黄鹭
《祖国不会忘记》	 韩红
《美丽的神话Ⅱ》	 孙楠; 韩红
《最炫小苹果》	 凤凰传奇; 筷子兄弟
《La La Love On My Mind》	 Ann Winsborn
《【三畿道】禁忌边界线（Cover ワルキューレ）》	 三畿道
《ツギハギスタッカート》	 とあ; 初音ミク
《Blue Star》	 初音ミク; P*Light
《Sweet Devil》	 初音ミク; P*Light
《Ievan Polkka (Replica ver.)》	 初音ミク; Otomania
《Jealousy》	 弱音ハク
《风中飞散的回忆》	 洛天依Official
《βios》	 小林未郁
《水边的阿狄丽娜》	 Richard Clayderman
《I'm Gonna Getcha Good! (Red Version)》	 Shania Twain
《沸き上がる闘志》	 六三四Musashi
《My Own Paradise》	 Tobu
《NARUTO Main Theme》	 六三四Musashi
《Hero》	 Mariah Carey
《我的天坑》	 南征北战NZBZ
《Senbonzakura》	 Lindsey Stirling
《寂寞沙洲冷》	 周传雄
《贝多芬的悲伤》	 萧风
《Beyond The Veil》	 Lindsey Stirling
《Mission Impossible》	 David Garrett
《String Tek》	 X-Ray Dog
《We Will Rock You》	 David Garrett
《Canon Rock》	 ARIA ASIA
《Take Flight》	 Lindsey Stirling
《Requiem For A Tower》	 Escala
《Palladio》	 Escala
《Contradanza》	 Vanessa-Mae
《Assassin's Creed》	 Eklipse
《Explosive》	 Bond
《Rainy Day》	 Diana Boncheva
《My Heart Will Go on (From "Titanic")》	 Taylor Davis
《Walk This Way》	 Orianthi
《Hungarian Dance No.5》	 David Garrett
《Master Of Tides》	 Lindsey Stirling
《Zi-Zi's Journey》	 Lindsey Stirling
《Dance With Dragons》	 BrunuhVille
《Viva La Vida》	 David Garrett
《Because of You》	 Josh Vietti
《Peer Gynt》	 David Garrett
《Where Is the Love》	 Josh Vietti
《Song of the Caged Bird》	 Lindsey Stirling
《IF YOU》	 韩红
《Misery》	 Maroon 5
《Save Rock And Roll》	 Fall Out Boy; Elton John
《Hymn For The Weekend（Remix）》	 Alan Walker; Coldplay
《Nova》	 Nigel Good
《Transcendence》	 Lindsey Stirling
《Arcade Ahri》	 英雄联盟
《Tales of Neverland（inspiring)》	 J.T.Peterson
《雪》	 杜婧荧; 王艺翔
《地球防御本部》	 StudioEIM
《明珠港》	 StudioEIM
《O Susanna/Camptown Races (Country Mountain Melodies Album Version)》	 Craig Duncan
《AM》	 Silencyde
《Worth It》	 Fifth Harmony; Kid Ink
《Irresistible》	 Fall Out Boy; Demi Lovato
《Uma Thurman》	 Fall Out Boy
《My Songs Know What You Did In The Dark (Light Em Up)》	 Fall Out Boy
《Piano Concerto No.1 In B Flat Minor; Op.23; TH.55:1. Allegro non troppo e molto maestoso - Allegro con spirito》	 Oregon Symphony; James DePriest
《Radetzky March Op. 228 (2005 Digital Remaster)》	 Herbert von Karajan
《Menuet D major》	 Wolfgang Amadeus Mozart
《Första Satsen Ur Symfoni Nr 5 Ödessymfonin》	 Richard Edlinger; Zagrebs Filharmoniska Orkester
《阿玛蒂斯:G大调第13号小夜曲/莫扎特》	 Wolfgang Amadeus Mozart
《The Four Seasons; Violin Concerto in E Major; RV 269 "Spring":I. Allegro》	 David Parry; Pieter Schoeman; London Philharmonic Orchestra
《Schwanengesang; D.957 (Cycle):Serenade (Ständchen D 957/4)》	 Gil Shaham; Göran Söllscher
《VI. Waltz 2 from Jazz Suite No. 2 (Eyes Wide Shut)》	 Dmitri Shostakovich
《The Godfather: Main Theme》	 André Rieu
《Trio In E-Flat; Op. 100 (Excerpt)》	 Franz Schubert
《The Four Seasons (Spring):1. Allegro》	 Antonio Vivaldi
《Michael Meets Mozart - 1 Piano; 2 Guys; 100 Cello Tracks》	 Jon Schmidt; Steven Sharp Nelson
《维也纳森林圆舞曲》	 Johann Strauss II
《Gavotte in D major;Rosine(arr. for violin and piano)》	 Linda Rosenthal
《Symphony No. 5 in C Minor; Op. 67:I. Allegro con brio》	 Herbert von Karajan; Berliner Philharmoniker
《蓝色多瑙河圆舞曲》	 Johann Strauss II
《La Valse D'amelie》	 Yann Tiersen
《River Flows In You》	 Martin Ermen
《梦中的婚礼》	 Richard Clayderman
《天国と地狱》	 Jacques Offenbach; 泉陸奥彦
《未闻花名 (口琴版)》	 V.A.
《Forrest Gump Suite》	 Alan Silvestri
《赫顿玛尔(ACT.8-大转移前) - hendonmyre new》	 Dungeon and Fighter
《Title Theme》	 Ari Pulkkinen
《Ekko;the Boy Who Shattered Time》	 Sebastien Najand; 英雄联盟
《Yankee Doodle/Battle Cry Of Freedom》	 Craig Duncan
《Entertainer; The》	 Paralyzed Veterans of America
《Last Reunion》	 EpicMusicVn
《Free Loop》	 Daniel Powter
